family,otolithID,detail_url,scientific_name,projectCode,stationID,locality,waterBody,image_url,scientificName,Sex,Life stage,Habitat,Platform,Station ID,Collection Method,Collection Date,decimalLatitude,decimalLongitude,Locality,Collection Depth (in mts),Station Depth (in mts),submittedBy
Acropomatidae,CMLRE/OTL/00001,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00001,Synagrops japonicus,DSDWF,SS34903,Off South Andaman,Andaman Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00001.jpg,Synagrops japonicus,Not Known,Adult,Nektonic,Sagar Sampada,SS34903,Deep sea trawling,2016-04-05,11.16505,92.31768333,Off South Andaman,591,591,"Aneesh Kumar KV, CMLRE"
Alepocephalidae,CMLRE/OTL/00006,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00006,Alepocephalus blanfordii,REIS,SS36603,Off Trivandrum,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00006.jpg,Alepocephalus blanfordii,Not Known,Adult,Nektonic,Sagar Sampada,SS36603,Deep sea trawling,2017-10-26,8.333083333,76.1752,Off Trivandrum,949,949,"Aneesh Kumar KV, CMLRE"
Alepocephalidae,CMLRE/OTL/00007,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00007,Narcetes stomias,REIS,SS36603,Off Trivandrum,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00007.jpg,Narcetes stomias,Not Known,Adult,Nektonic,Sagar Sampada,SS36603,Deep sea trawling,2017-10-26,8.333083333,76.1752,Off Trivandrum,949,949,"Aneesh Kumar KV, CMLRE"
Alepocephalidae,CMLRE/OTL/00030,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00030,Alepocephalus bicolor,DSDWF,SS34901,Off South-West Andaman,Andaman Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00030.jpg,Alepocephalus bicolor,Not Known,Adult,Nektonic,Sagar Sampada,SS34901,Deep sea trawling,2016-04-04,11.16505,92.31768333,Off South-West Andaman,576,576,"Aneesh Kumar KV, CMLRE"
Alepocephalidae,CMLRE/OTL/00035,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00035,Talismania longifilis,REIS,SS39901,Off Trivandrum,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00035.jpg,Talismania longifilis,Not Known,Adult,Nektonic,Sagar Sampada,SS39901,Deep sea trawling,2020-09-23,8.3845,76.11295,Off Trivandrum,1065,1065,"Aneesh Kumar KV, CMLRE"
Bathyclupeidae,CMLRE/OTL/00034,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00034,Bathyclupea elongata,REIS,SS39901,Off Trivandrum,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00034.jpg,Bathyclupea elongata,Not Known,Adult,Nektonic,Sagar Sampada,SS39901,Deep sea trawling,2020-09-23,8.3845,76.11295,Off Trivandrum,1065,1065,"Aneesh Kumar KV, CMLRE"
Berycidae,CMLRE/OTL/00016,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00016,Beryx splendens,REIS,SS37207,Off Allapuzha,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00016.jpg,Beryx splendens,Not Known,Adult,Nektonic,Sagar Sampada,SS37207,Deep sea trawling,2018-03-03,9.4827,75.7062,Off Allapuzha,327,327,"Aneesh Kumar KV, CMLRE"
Centrolophidae,CMLRE/OTL/00002,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00002,Psenopsis obscura,DSDWF,SS34905,Off East Andaman,Andaman Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00002.jpg,Psenopsis obscura,Not Known,Adult,Nektonic,Sagar Sampada,SS34905,Deep sea trawling,2016-04-10,12.54233333,93.14616667,Off East Andaman,300,300,"Aneesh Kumar KV, CMLRE"
Centrolophidae,CMLRE/OTL/00037,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00037,Psenopsis cyanea,DSDWF,SS32205,Off Kannur,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00037.jpg,Psenopsis cyanea,Not Known,Adult,Nektonic,Sagar Sampada,SS32205,Deep sea trawling,2014-09-01,11.95528333,74.43468333,Off Kannur,200,200,"Aneesh Kumar KV, CMLRE"
Chlorophthalmidae,CMLRE/OTL/00003,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00003,Chlorophthalmus actifrons,DSDWF,SS34905,Off East Andaman,Andaman Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00003.jpg,Chlorophthalmus actifrons,Not Known,Adult,Nektonic,Sagar Sampada,SS34905,Deep sea trawling,2016-04-10,12.54233333,93.14616667,Off East Andaman,300,300,"Aneesh Kumar KV, CMLRE"
Chlorophthalmidae,CMLRE/OTL/00028,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00028,Chlorophthalmus corniger,DSDWF,SS34904,Off South Andaman,Andaman Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00028.jpg,Chlorophthalmus corniger,Not Known,Adult,Nektonic,Sagar Sampada,SS34904,Deep sea trawling,2016-04-06,9.625483333,92.73631667,Off South Andaman,362,362,"Aneesh Kumar KV, CMLRE"
Colocongridae,CMLRE/OTL/00032,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00032,Coloconger raniceps,REIS,SS39902,Off Trivandrum,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00032.jpg,Coloconger raniceps,Not Known,Adult,Nektonic,Sagar Sampada,SS39902,Deep sea trawling,2020-09-24,8.199383333,76.5315,Off Trivandrum,566,566,"Aneesh Kumar KV, CMLRE"
Congridae,CMLRE/OTL/00010,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00010,Bathyuroconger vicinus,REIS,SS36603,Off Trivandrum,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00010.jpg,Bathyuroconger vicinus,Not Known,Adult,Nektonic,Sagar Sampada,SS36603,Deep sea trawling,2017-10-26,8.333083333,76.1752,Off Trivandrum,949,949,"Aneesh Kumar KV, CMLRE"
Congridae,CMLRE/OTL/00033,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00033,Xenomystax trucidans,REIS,SS39902,Off Trivandrum,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00033.jpg,Xenomystax trucidans,Not Known,Adult,Nektonic,Sagar Sampada,SS39902,Deep sea trawling,2020-09-24,8.199383333,76.5315,Off Trivandrum,566,566,"Aneesh Kumar KV, CMLRE"
Diretmidae,CMLRE/OTL/00029,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00029,Diretmoides veriginae,DSDWF,SS34901,Off South-West Andaman,Andaman Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00029.jpg,Diretmoides veriginae,Not Known,Adult,Nektonic,Sagar Sampada,SS34901,Deep sea trawling,2016-04-04,11.16505,92.31768333,Off South-West Andaman,576,576,"Aneesh Kumar KV, CMLRE"
Gempylidae,CMLRE/OTL/00015,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00015,Rexea prometheoides,REIS,SS37207,Off Allapuzha,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00015.jpg,Rexea prometheoides,Not Known,Adult,Nektonic,Sagar Sampada,SS37207,Deep sea trawling,2018-03-03,9.4827,75.7062,Off Allapuzha,327,327,"Aneesh Kumar KV, CMLRE"
Gempylidae,CMLRE/OTL/00021,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00021,Neoepinnula orientalis,REIS,SS39807,Off Chennai,Bay of Bengal,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00021.jpg,Neoepinnula orientalis,Not Known,Adult,Nektonic,Sagar Sampada,SS39807,Deep sea trawling,2020-03-09,13.2232,80.5814,Off Chennai,203,203,"Aneesh Kumar KV, CMLRE"
Ipnopidae,CMLRE/OTL/00011,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00011,Bathypterois atricolor,REIS,SS36603,Terrace of Trivandrum,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00011.jpg,Bathypterois atricolor,Not Known,Adult,Nektonic,Sagar Sampada,SS36603,Deep sea trawling,2017-10-26,8.333083333,76.1752,Terrace of Trivandrum,949,949,"Aneesh Kumar KV, CMLRE"
Moridae,CMLRE/OTL/00022,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00022,Physiculus roseus,REIS,SS39807,Off Chennai,Bay of Bengal,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00022.jpg,Physiculus roseus,Not Known,Adult,Nektonic,Sagar Sampada,SS39807,Deep sea trawling,2020-03-09,13.2232,80.5814,Off Chennai,203,203,"Aneesh Kumar KV, CMLRE"
Muraenesocidae,CMLRE/OTL/00036,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00036,Gavialiceps taeniola,REIS,SS39905,Off Karwar,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00036.jpg,Gavialiceps taeniola,Not Known,Adult,Nektonic,Sagar Sampada,SS39905,Deep sea trawling,2020-10-05,14.494,73.05366667,Off Karwar,952,952,"Aneesh Kumar KV, CMLRE"
Nemipteridae,CMLRE/OTL/00018,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00018,Nemipterus japonicus,REIS,SS37208,Off Allapuzha,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00018.jpg,Nemipterus japonicus,Not Known,Adult,Nektonic,Sagar Sampada,SS37208,Deep sea trawling,2018-03-04,9.39485,75.91491667,Off Allapuzha,87,87,"Aneesh Kumar KV, CMLRE"
Neobythitinae,CMLRE/OTL/00031,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00031,Lamprogrammus fragilis,REIS,SS39905,Off Karwar,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00031.jpg,Lamprogrammus fragilis,Not Known,Adult,Nektonic,Sagar Sampada,SS39905,Deep sea trawling,2020-10-05,14.494,73.05366667,Off Karwar,952,952,"Aneesh Kumar KV, CMLRE"
Nomeidae,CMLRE/OTL/00027,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00027,Cubiceps baxteri,DSDWF,SS34905,Off South Andaman,Andaman Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00027.jpg,Cubiceps baxteri,Not Known,Adult,Nektonic,Sagar Sampada,SS34905,Deep sea trawling,2016-04-10,12.54233333,93.14616667,Off South Andaman,300,300,"Aneesh Kumar KV, CMLRE"
Ophidiidae,CMLRE/OTL/00008,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00008,Lamprogrammus niger,REIS,SS36603,Off Trivandrum,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00008.jpg,Lamprogrammus niger,Not Known,Adult,Nektonic,Sagar Sampada,SS36603,Deep sea trawling,2017-10-26,8.333083333,76.1752,Off Trivandrum,949,949,"Aneesh Kumar KV, CMLRE"
Ostracoberycidae,CMLRE/OTL/00026,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00026,Ostracoberx dorygenys,DSDWF,SS34904,Off South Andaman,Andaman Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00026.jpg,Ostracoberx dorygenys,Not Known,Adult,Nektonic,Sagar Sampada,SS34904,Deep sea trawling,2016-04-06,9.625483333,92.73631667,Off South Andaman,362,362,"Aneesh Kumar KV, CMLRE"
Percophidae,CMLRE/OTL/00020,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00020,Bembrops caudimacula,DSDWF,SS33806,Off Allapuzha,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00020.jpg,Bembrops caudimacula,Not Known,Adult,Nektonic,Sagar Sampada,SS33806,Deep sea trawling,2018-04-22,12.14111667,74.35111667,Off Allapuzha,238,238,"Aneesh Kumar KV, CMLRE"
Peristediidae,CMLRE/OTL/00025,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00025,Satyrichthys milleri,DSDWF,SS34907,Off North-East Andaman,Andaman Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00025.jpg,Satyrichthys milleri,Not Known,Adult,Nektonic,Sagar Sampada,SS34907,Deep sea trawling,2016-04-11,13.25533333,93.1735,Off North-East Andaman,332,332,"Aneesh Kumar KV, CMLRE"
Platycephalidae,CMLRE/OTL/00014,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00014,Grammoplites suppositus,REIS,SS37201,Off East Andaman,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00014.jpg,Grammoplites suppositus,Not Known,Adult,Nektonic,Sagar Sampada,SS37201,Deep sea trawling,2018-02-22,22.35166667,68.05533333,Off East Andaman,72,72,"Aneesh Kumar KV, CMLRE"
Polymixiidae,CMLRE/OTL/00004,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00004,Polymixia fusca,DSDWF,SS34905,Off East Andaman,Andaman Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00004.jpg,Polymixia fusca,Not Known,Adult,Nektonic,Sagar Sampada,SS34905,Deep sea trawling,2016-04-10,12.54233333,93.14616667,Off East Andaman,300,300,"Aneesh Kumar KV, CMLRE"
Sciaenidae,CMLRE/OTL/00017,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00017,Atrobucca nibe,REIS,SS37202,Off Gujarat,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00017.jpg,Atrobucca nibe,Not Known,Adult,Nektonic,Sagar Sampada,SS37202,Demersal trawling,2018-02-24,20.31598333,69.38733333,Off Gujarat,247,247,"Aneesh Kumar KV, CMLRE"
Synodontidae,CMLRE/OTL/00013,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00013,Saurida tumbil,REIS,SS37201,Off East Andaman,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00013.jpg,Saurida tumbil,Not Known,Adult,Nektonic,Sagar Sampada,SS37201,Demersal trawling,2018-02-22,22.35166667,68.05533333,Off East Andaman,72,72,"Aneesh Kumar KV, CMLRE"
Trachichthyidae,CMLRE/OTL/00005,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00005,Hoplostethus melanopus,REIS,SS36603,Off Trivandrum,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00005.jpg,Hoplostethus melanopus,Not Known,Adult,Nektonic,Sagar Sampada,SS36603,Deep sea trawling,2017-10-26,12.54233333,93.14616667,Off Trivandrum,949,949,"Aneesh Kumar KV, CMLRE"
Trachichthyidae,CMLRE/OTL/00012,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00012,Gephyroberys darwinii,REIS,SS36705,Off East Andaman,Andaman Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00012.jpg,Gephyroberys darwinii,Not Known,Adult,Nektonic,Sagar Sampada,SS36705,Deep sea trawling,2017-11-25,12.52595,93.16238333,Off East Andaman,314,314,"Aneesh Kumar KV, CMLRE"
Trachichthyidae,CMLRE/OTL/00024,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00024,Hoplostethus rubellopterus,DSDWF,SS33803,Off Malappuram,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00024.jpg,Hoplostethus rubellopterus,Not Known,Adult,Nektonic,Sagar Sampada,SS33803,Deep sea trawling,2015-04-20,10.94168333,75.12965,Off Malappuram,352,352,"Aneesh Kumar KV, CMLRE"
Trichiuridae,CMLRE/OTL/00009,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00009,Aphanopus microphthalmus,REIS,SS36603,Off Trivandrum,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00009.jpg,Aphanopus microphthalmus,Not Known,Adult,Nektonic,Sagar Sampada,SS36603,Deep sea trawling,2017-10-26,8.333083333,76.1752,Off Trivandrum,949,949,"Aneesh Kumar KV, CMLRE"
Trichiuridae,CMLRE/OTL/00023,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00023,Trichurus lepturus,REIS,SS39807,Off Chennai,Bay of Bengal,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00023.jpg,Trichurus lepturus,Not Known,Adult,Nektonic,Sagar Sampada,SS39807,Deep sea trawling,2020-03-09,13.2232,80.5814,Off Chennai,203,203,"Aneesh Kumar KV, CMLRE"
Triglidae,CMLRE/OTL/00019,https://indobis.in/otodetails/?otolithID=CMLRE/OTL/00019,Pterygotrigla hemistica,DSDWF,SS33806,Off Allapuzha,Arabian Sea,https://indobis.in/wp-content/uploads/otoliths/CMLREOTL00019.jpg,Pterygotrigla hemistica,Not Known,Adult,Nektonic,Sagar Sampada,SS33806,Deep sea trawling,2018-04-22,12.14111667,74.35111667,Off Allapuzha,238,238,"Aneesh Kumar KV, CMLRE"
